country,category,language,p_neg,p_neu,p_pos,S
Argentina,neutral,ar,0.15655252,0.68710446,0.156343,-0.00020952323
Argentina,neutral,en,0.13308443,0.7345463,0.13236926,-0.0007151693
Argentina,neutral,ru,0.11830176,0.7716015,0.110096745,-0.008205006
Argentina,neutral,zh,0.16614358,0.66238,0.17147647,0.0053329
Austria,neutral,ar,0.13929173,0.661192,0.19951625,0.06022452
Austria,neutral,en,0.13066334,0.7525322,0.11680446,-0.013858882
Austria,neutral,ru,0.12239064,0.7727232,0.10488615,-0.017504495
Austria,neutral,zh,0.14858717,0.683446,0.16796684,0.01937968
Belarus,adversary,ar,0.124429815,0.7430443,0.13252588,0.008096055
Belarus,adversary,en,0.13796529,0.7514485,0.11058617,-0.027379138
Belarus,adversary,ru,0.11072843,0.75474685,0.13452472,0.02379628
Belarus,adversary,zh,0.18451455,0.66926974,0.1462157,-0.03829884
Brazil,neutral,ar,0.12035438,0.73486173,0.14478387,0.024429493
Brazil,neutral,en,0.11369807,0.76013225,0.12616967,0.012471599
Brazil,neutral,ru,0.11638712,0.77272284,0.11089006,-0.0054970556
Brazil,neutral,zh,0.16315489,0.6898526,0.14699252,-0.016162358
Canada,ally,ar,0.16286616,0.675418,0.16171579,-0.0011503707
Canada,ally,en,0.10966378,0.7484289,0.1419074,0.03224361
Canada,ally,ru,0.11325965,0.7768523,0.109888054,-0.0033715973
Canada,ally,zh,0.17163177,0.65579385,0.17257439,0.00094261765
China,adversary,ar,0.1473279,0.7092206,0.14345151,-0.0038763867
China,adversary,en,0.15434712,0.7420892,0.1035637,-0.05078341
China,adversary,ru,0.13223265,0.746941,0.12082632,-0.011406338
China,adversary,zh,0.16407244,0.6577414,0.17818616,0.014113733
Cuba,adversary,ar,0.121425256,0.70768523,0.17088954,0.04946428
Cuba,adversary,en,0.18287525,0.7189857,0.098139055,-0.0847362
Cuba,adversary,ru,0.113344744,0.7625052,0.124150135,0.010805397
Cuba,adversary,zh,0.17890999,0.6587289,0.16236109,-0.01654892
France,ally,ar,0.15316,0.6967737,0.15006629,-0.0030937323
France,ally,en,0.13727583,0.71958137,0.1431428,0.0058669895
