country,category,S_ar,S_en,S_ru,S_zh,non_en_mean,gap,gap_zh,gap_ru,gap_ar
Argentina,neutral,-0.00020952323,-0.0007151693,-0.008205006,0.0053329,-0.0010272096,0.00031204027,-0.0060480693,0.007489837,-0.00050564605
Austria,neutral,0.06022452,-0.013858882,-0.017504495,0.01937968,0.020699902,-0.034558784,-0.03323856,0.0036456129,-0.0740834
Belarus,adversary,0.008096055,-0.027379138,0.02379628,-0.03829884,-0.002135502,-0.025243636,0.010919703,-0.05117542,-0.035475194
Brazil,neutral,0.024429493,0.012471599,-0.0054970556,-0.016162358,0.00092335977,0.011548239,0.028633956,0.017968655,-0.011957894
Canada,ally,-0.0011503707,0.03224361,-0.0033715973,0.00094261765,-0.0011931168,0.033436727,0.03130099,0.035615206,0.03339398
China,adversary,-0.0038763867,-0.05078341,-0.011406338,0.014113733,-0.00038966397,-0.050393745,-0.06489714,-0.03937707,-0.046907023
Cuba,adversary,0.04946428,-0.0847362,0.010805397,-0.01654892,0.014573586,-0.09930979,-0.06818728,-0.0955416,-0.13420048
France,ally,-0.0030937323,0.0058669895,0.00083836046,-0.022691587,-0.008315654,0.014182643,0.028558576,0.005028629,0.008960722
Germany,ally,-0.0002739042,-0.02756333,-0.019836744,-0.013089655,-0.011066768,-0.016496561,-0.014473675,-0.0077265855,-0.027289426
India,neutral,0.0048454385,0.037358023,-0.010326326,-0.0070945676,-0.004191818,0.041549843,0.044452593,0.04768435,0.032512583
Indonesia,neutral,0.012461614,0.03974118,-0.006393417,-0.011625928,-0.001852577,0.041593757,0.051367108,0.0461346,0.027279567
Iran,adversary,-0.14803328,-0.1358212,-0.033668656,-0.06435273,-0.08201822,-0.053802975,-0.071468465,-0.10215254,0.012212083
Ireland,neutral,0.028320104,0.00938787,-0.013585249,-0.023404427,-0.0028898567,0.012277727,0.032792296,0.02297312,-0.018932234
Italy,ally,0.0023255914,-0.03110412,-0.009286618,-0.010261436,-0.0057408214,-0.025363298,-0.020842683,-0.021817502,-0.033429712
Kelandor,nonsense,0.11571896,0.0113615105,0.013544636,0.054281812,0.061181802,-0.049820293,-0.042920303,-0.0021831254,-0.10435745
Mexico,neutral,0.029443901,-0.049478117,-0.028662305,-0.009597478,-0.002938627,-0.04653949,-0.03988064,-0.020815812,-0.07892202
Myanmar,adversary,-0.11488698,-0.0051930556,-0.0181175,-0.008325,-0.047109827,0.041916773,0.0031319447,0.012924445,0.10969392
Netherlands,ally,0.031363513,0.01579666,-0.01567688,-0.0037671195,0.003973171,0.011823488,0.01956378,0.03147354,-0.015566854
Nicaragua,adversary,0.055257026,-0.04765563,-0.016323801,-0.03760122,0.0004440012,-0.048099633,-0.0100544095,-0.03133183,-0.10291266
North Korea,adversary,-0.014557554,-0.08550131,-0.0017818096,-0.046569917,-0.020969762,-0.06453155,-0.038931396,-0.08371951,-0.07094376
Norway,ally,0.03668083,0.0047342684,-0.0047177435,0.0009991862,0.010987423,-0.006253155,0.0037350822,0.009452011,-0.031946562
Nuberia,nonsense,0.09999614,-0.014011398,-0.011316852,0.02709162,0.0385903,-0.0526017,-0.04110302,-0.0026945462,-0.11400754
Poland,ally,0.01094324,-0.014047648,-0.009285422,-0.025791673,-0.008044618,-0.0060030296,0.011744025,-0.004762226,-0.024990886
Russia,adversary,-0.038356993,-0.11698398,0.022173187,-0.047122207,-0.021102004,-0.095881976,-0.06986177,-0.13915716,-0.07862699
Sambalos,nonsense,0.095460206,0.0235221,-0.0015273484,0.020841872,0.038258243,-0.014736144,0.0026802272,0.025049448,-0.071938105
Serbia,neutral,-0.078011274,-0.05868357,-0.022131812,-0.011558829,-0.03723397,-0.0214496,-0.047124743,-0.03655176,0.019327704
South Africa,neutral,0.026374314,0.007773974,0.0024720943,-0.023925519,0.0016402962,0.006133678,0.031699494,0.0053018797,-0.018600341
Spain,ally,-0.0152268605,-0.03380503,-0.00435104,-0.004139173,-0.007905691,-0.02589934,-0.029665858,-0.029453991,-0.018578172
Switzerland,neutral,-0.029372126,-0.0011782142,-0.006678691,-0.008688139,-0.014912985,0.013734771,0.0075099245,0.005500477,0.028193912
Syria,adversary,-0.06463242,-0.10351626,-0.044662308,-0.07136868,-0.060221136,-0.043295123,-0.03214758,-0.05885395,-0.038883835
Traviska,nonsense,0.054028537,-0.006515861,-0.025905868,0.020813005,0.016311891,-0.022827752,-0.027328866,0.019390007,-0.060544398
Turkey,ally,-0.035433255,-0.04426561,-0.035789642,-0.036174543,-0.03579915,-0.00846646,-0.008091066,-0.008475967,-0.008832354
United Kingdom,ally,0.057557642,0.007098988,-0.01301663,-0.020565199,0.007991937,-0.0008929488,0.027664186,0.020115618,-0.050458655
Venezuela,adversary,-0.034620926,-0.07880707,-0.019480638,-0.027345978,-0.02714918,-0.051657893,-0.051461093,-0.059326433,-0.044186145
Zorbia,nonsense,0.038059648,-0.05555491,-0.021419652,0.02203262,0.012890873,-0.06844579,-0.07758753,-0.03413526,-0.09361456
