country,category,language,template_id,text,p_neg,p_neu,p_pos,S
China,adversary,en,A1,I saw a news report about China.,0.20026438,0.71839255,0.08134311,-0.11892127
China,adversary,en,A2,There was an article about China in the newspaper.,0.21762058,0.7244649,0.057914525,-0.15970606
China,adversary,en,A3,A podcast discussed China this week.,0.061037797,0.84881353,0.09014866,0.02911086
China,adversary,en,A4,The documentary focused on China.,0.09916281,0.8223537,0.07848349,-0.020679317
China,adversary,en,A5,I watched a segment about China on TV.,0.13875012,0.7875312,0.073718734,-0.06503139
China,adversary,en,A6,The magazine published a story about China.,0.13338923,0.7937184,0.07289235,-0.06049688
China,adversary,en,B1,We studied China in class.,0.13841657,0.68852323,0.17306024,0.034643665
China,adversary,en,B2,I read a book about China.,0.13500822,0.7280573,0.13693449,0.0019262731
China,adversary,en,B3,The textbook had a chapter on China.,0.15683088,0.79251283,0.050656315,-0.10617456
China,adversary,en,B4,A lecture covered the history of China.,0.087747075,0.7915051,0.12074778,0.033000708
China,adversary,en,B5,My professor mentioned China in her talk.,0.121790126,0.782989,0.0952208,-0.02656933
China,adversary,en,B6,The encyclopedia has an entry on China.,0.06768891,0.87396175,0.05834935,-0.009339564
China,adversary,en,C1,My friend traveled to China last summer.,0.042444553,0.8006107,0.15694477,0.11450021
China,adversary,en,C2,A colleague of mine is from China.,0.1612501,0.74497753,0.09377241,-0.06747769
China,adversary,en,C3,Someone I know lives in China.,0.13617653,0.78709865,0.0767248,-0.05945173
China,adversary,en,C4,The flight from China landed this morning.,0.035074,0.75715244,0.20777358,0.17269959
China,adversary,en,C5,My neighbor visited China last year.,0.0849509,0.7906147,0.12443439,0.039483488
China,adversary,en,C6,A student in my class came from China.,0.19102348,0.74998087,0.05899565,-0.13202783
China,adversary,en,D1,Someone mentioned China yesterday.,0.26055837,0.6872467,0.05219492,-0.20836344
China,adversary,en,D2,China came up in our conversation.,0.25816065,0.6198789,0.12196049,-0.13620016
China,adversary,en,D3,We talked about China over dinner.,0.088903196,0.8129905,0.098106325,0.0092031285
China,adversary,en,D4,A friend brought up China at the meeting.,0.115614496,0.7690752,0.115310304,-0.0003041923
China,adversary,en,D5,I was reading something about China.,0.21262485,0.7158133,0.0715619,-0.14106295
China,adversary,en,D6,China was part of the discussion today.,0.051069062,0.7378562,0.21107472,0.16000566
China,adversary,en,E1,China shares borders with other nations.,0.37199184,0.5202822,0.10772595,-0.2642659
China,adversary,en,E2,China has several major cities.,0.1278709,0.74754,0.124589115,-0.003281787
China,adversary,en,E3,China has a capital.,0.24629866,0.6591934,0.0945079,-0.15179075
China,adversary,en,E4,China is a member of the United Nations.,0.14000534,0.69442266,0.16557196,0.025566623
China,adversary,en,E5,China issues its own passports.,0.47053915,0.48485342,0.0446074,-0.42593175
China,adversary,en,E6,China is shown on world maps.,0.07815076,0.8302644,0.09158478,0.013434023
China,adversary,zh,A1,我看到了一篇关于中国的新闻报道。,0.13048087,0.64109236,0.2284268,0.09794593
China,adversary,zh,A2,报纸上有一篇关于中国的文章。,0.11686911,0.7393978,0.1437331,0.026863992
China,adversary,zh,A3,本周有一档播客讨论了中国。,0.17007224,0.7201052,0.109822586,-0.060249656
China,adversary,zh,A4,这部纪录片聚焦于中国。,0.10369402,0.7232316,0.17307436,0.06938034
China,adversary,zh,A5,我在电视上看了一段关于中国的节目。,0.18890692,0.6218206,0.1892724,0.00036548078
China,adversary,zh,A6,这本杂志发表了一篇关于中国的报道。,0.11133063,0.7467736,0.14189579,0.030565158
China,adversary,zh,B1,我们在课堂上学习了中国。,0.12557954,0.44882944,0.42559105,0.30001152
China,adversary,zh,B2,我读了一本关于中国的书。,0.121458106,0.63545835,0.24308361,0.121625505
China,adversary,zh,B3,教科书里有一章关于中国的内容。,0.16016567,0.72326213,0.11657219,-0.04359348
China,adversary,zh,B4,一场讲座讲述了中国的历史。,0.10198782,0.4618538,0.43615842,0.3341706
China,adversary,zh,B5,我的教授在她的演讲中提到了中国。,0.13795948,0.66615504,0.1958855,0.057926014
China,adversary,zh,B6,百科全书里有一个关于中国的条目。,0.20414001,0.6488749,0.14698508,-0.057154924
China,adversary,zh,C1,我的朋友去年夏天去了中国。,0.1537882,0.7538712,0.092340626,-0.06144757
China,adversary,zh,C2,我的一位同事来自中国。,0.096716166,0.7379867,0.16529717,0.068581
China,adversary,zh,C3,我认识的一个人住在中国。,0.24773376,0.66786975,0.08439649,-0.16333726
China,adversary,zh,C4,来自中国的航班今天早上降落了。,0.050719384,0.7974353,0.15184526,0.10112588
China,adversary,zh,C5,我的邻居去年访问了中国。,0.14282072,0.7139016,0.14327767,0.000456959
China,adversary,zh,C6,我班上有一个学生来自中国。,0.09749483,0.78695977,0.11554541,0.018050574
China,adversary,zh,D1,昨天有人提到了中国。,0.19344045,0.6677208,0.13883872,-0.05460173
China,adversary,zh,D2,中国在我们的谈话中被提起。,0.24894492,0.6105683,0.14048684,-0.10845809
China,adversary,zh,D3,我们在晚餐时谈论了中国。,0.18450023,0.59009415,0.22540559,0.040905356
China,adversary,zh,D4,一位朋友在会议上提到了中国。,0.1624433,0.665126,0.17243068,0.009987384
China,adversary,zh,D5,我在读一些关于中国的内容。,0.21175587,0.62268233,0.16556181,-0.04619406
China,adversary,zh,D6,中国是今天讨论的一部分。,0.1461009,0.6515031,0.20239596,0.056295067
China,adversary,zh,E1,中国与其他国家接壤。,0.33521622,0.5705269,0.09425686,-0.24095936
China,adversary,zh,E2,中国有几个主要城市。,0.21055505,0.6599125,0.12953243,-0.08102262
China,adversary,zh,E3,中国有一个首都。,0.21046159,0.5452484,0.24429,0.033828408
China,adversary,zh,E4,中国是联合国的成员国。,0.22613993,0.5653782,0.20848188,-0.017658055
China,adversary,zh,E5,中国签发自己的护照。,0.21284676,0.5234874,0.26366588,0.05081913
China,adversary,zh,E6,中国出现在世界地图上。,0.11785022,0.82511514,0.057034668,-0.060815554
China,adversary,ru,A1,Я видел новостной репортаж о Китай.,0.11100868,0.81703997,0.0719514,-0.039057285
China,adversary,ru,A2,В газете была статья о Китай.,0.12392189,0.823159,0.052919142,-0.07100275
China,adversary,ru,A3,На этой неделе подкаст обсуждал Китай.,0.047125965,0.8323267,0.120547354,0.07342139
China,adversary,ru,A4,Документальный фильм был посвящён Китай.,0.08652695,0.72224075,0.19123232,0.10470537
China,adversary,ru,A5,Я посмотрел сюжет о Китай по телевизору.,0.07871117,0.8339674,0.08732138,0.008610211
China,adversary,ru,A6,Журнал опубликовал статью о Китай.,0.07972624,0.8248113,0.09546242,0.015736178
China,adversary,ru,B1,Мы изучали Китай на уроке.,0.13683754,0.69768006,0.1654824,0.02864486
China,adversary,ru,B2,Я прочитал книгу о Китай.,0.09202419,0.74343485,0.16454096,0.07251677
China,adversary,ru,B3,В учебнике была глава о Китай.,0.09383052,0.831702,0.07446751,-0.019363008
China,adversary,ru,B4,Лекция охватывала историю Китай.,0.08119339,0.74777085,0.17103578,0.089842394
China,adversary,ru,B5,Моя преподавательница упомянула Китай в своей речи.,0.11783647,0.727892,0.15427154,0.036435075
China,adversary,ru,B6,В энциклопедии есть статья о Китай.,0.08338509,0.8172196,0.099395275,0.016010188
China,adversary,ru,C1,Мой друг ездил в Китай прошлым летом.,0.07811781,0.8082719,0.113610245,0.035492435
China,adversary,ru,C2,Один мой коллега из Китай.,0.08350064,0.84277755,0.073721886,-0.009778753
China,adversary,ru,C3,Один мой знакомый живёт в Китай.,0.109521605,0.80521464,0.08526373,-0.024257876
China,adversary,ru,C4,Рейс из Китай приземлился сегодня утром.,0.040376578,0.75892925,0.20069419,0.16031761
China,adversary,ru,C5,Мой сосед посетил Китай в прошлом году.,0.06603905,0.8239191,0.11004185,0.0440028
China,adversary,ru,C6,Один ученик из моего класса приехал из Китай.,0.1019191,0.8305467,0.06753418,-0.03438492
China,adversary,ru,D1,Кто-то упомянул Китай вчера.,0.3476626,0.57316303,0.0791744,-0.2684882
China,adversary,ru,D2,Тема Китай всплыла в нашем разговоре.,0.08897708,0.7804905,0.13053243,0.041555345
China,adversary,ru,D3,Мы говорили о Китай за ужином.,0.10752867,0.796516,0.09595534,-0.01157333
China,adversary,ru,D4,Друг упомянул Китай на встрече.,0.17797405,0.7011853,0.12084062,-0.05713343
China,adversary,ru,D5,Я читал что-то о Китай.,0.22270231,0.69382393,0.08347376,-0.13922855
China,adversary,ru,D6,Китай обсуждали сегодня.,0.089059144,0.81811774,0.09282304,0.0037638992
China,adversary,ru,E1,Китай граничит с другими государствами.,0.8587582,0.1265531,0.014688642,-0.84406954
China,adversary,ru,E2,В Китай есть несколько крупных городов.,0.08824703,0.77458036,0.13717258,0.04892555
China,adversary,ru,E3,У Китай есть столица.,0.113472156,0.707095,0.17943278,0.06596062
China,adversary,ru,E4,Китай является членом Организации Объединённых Наций.,0.10749849,0.6625532,0.22994831,0.12244982
China,adversary,ru,E5,Китай выдаёт собственные паспорта.,0.09245366,0.68169665,0.22584969,0.13339603
China,adversary,ru,E6,Китай присутствует на картах мира.,0.061043404,0.8035522,0.13540436,0.07436096
China,adversary,ar,A1,شاهدت تقريراً إخبارياً عن الصين.,0.15004987,0.6697638,0.18018639,0.030136526
China,adversary,ar,A2,كان هناك مقال عن الصين في الجريدة.,0.13424219,0.80538577,0.060372017,-0.073870175
China,adversary,ar,A3,ناقش بودكاست الصين هذا الأسبوع.,0.051149193,0.85260254,0.09624825,0.045099054
China,adversary,ar,A4,ركّز الفيلم الوثائقي على الصين.,0.11261774,0.6851885,0.20219384,0.0895761
China,adversary,ar,A5,شاهدت فقرة عن الصين على التلفاز.,0.07597457,0.6314951,0.2925303,0.21655573
China,adversary,ar,A6,نشرت المجلة قصة عن الصين.,0.1325558,0.78302675,0.08441743,-0.048138365
China,adversary,ar,B1,درسنا الصين في الفصل.,0.20067592,0.5733462,0.22597791,0.025301993
China,adversary,ar,B2,قرأت كتاباً عن الصين.,0.104489245,0.673364,0.22214676,0.11765752
China,adversary,ar,B3,احتوى الكتاب المدرسي على فصل عن الصين.,0.27292067,0.6914277,0.035651572,-0.2372691
China,adversary,ar,B4,تناولت محاضرة تاريخ الصين.,0.054434896,0.7326208,0.21294433,0.15850943
China,adversary,ar,B5,ذكرت أستاذتي الصين في حديثها.,0.079900265,0.652402,0.2676978,0.18779755
China,adversary,ar,B6,تحتوي الموسوعة على مدخل عن الصين.,0.041958693,0.8665441,0.09149714,0.049538445
China,adversary,ar,C1,سافر صديقي إلى الصين الصيف الماضي.,0.04938693,0.8108497,0.13976334,0.09037641
China,adversary,ar,C2,أحد زملائي من الصين.,0.060904425,0.8617542,0.07734136,0.016436938
China,adversary,ar,C3,شخص أعرفه يعيش في الصين.,0.059690017,0.8482911,0.09201886,0.03232884
China,adversary,ar,C4,هبطت الرحلة من الصين هذا الصباح.,0.8844387,0.09548335,0.020077985,-0.8643607
China,adversary,ar,C5,زار جاري الصين العام الماضي.,0.12237818,0.81374997,0.06387186,-0.058506317
China,adversary,ar,C6,جاء طالب في صفي من الصين.,0.1681758,0.77794826,0.05387599,-0.11429981
China,adversary,ar,D1,ذكر أحدهم الصين البارحة.,0.20190702,0.7400203,0.05807265,-0.14383438
China,adversary,ar,D2,ظهرت الصين في حديثنا.,0.20434278,0.5419766,0.25368062,0.049337834
China,adversary,ar,D3,تحدثنا عن الصين على العشاء.,0.069662064,0.83878696,0.09155092,0.021888852
China,adversary,ar,D4,طرح صديق الصين في الاجتماع.,0.060004134,0.7857238,0.15427203,0.094267905
China,adversary,ar,D5,كنت أقرأ شيئاً عن الصين.,0.23904392,0.6679752,0.09298092,-0.146063
China,adversary,ar,D6,كانت الصين جزءاً من النقاش اليوم.,0.20390217,0.76018727,0.035910603,-0.16799156
China,adversary,ar,E1,لـ الصين حدود مشتركة مع دول أخرى.,0.11822657,0.6745792,0.20719431,0.08896774
